,company,petrol,diesel
0,Goil,14.99,14.7
1,TotalEnergies,14.3,14.8
2,JP,13.97,13.97
3,Petrosol,14.27,14.69
4,StarOil,14.27,13.97
5,Puma,13.97,14.37
6,Benab,13.7,13.8
7,Shell,14.29,14.74
8,Allied,13.65,13.83
9,So Energy,13.4,13.8
10,Zen,13.73,13.96
11,IBM Petroleum,13.37,14.37
12,Unicorn Petroleum,13.99,14.65
13,Bloom Petroleum,13.15,13.95
14,Viggo Energy,13.16,13.87
